time_sec,left_shoulder_pan_joint,left_shoulder_lift_joint,left_elbow_joint,left_wrist_1_joint,left_wrist_2_joint,left_wrist_3_joint
1.366,-0.0585212,0.101692,-0.0187537,0.00417182,-0.00316171,0.0090588
1.378,-0.0550308,0.0956073,-0.0176708,0.00391995,-0.00297899,0.00852604
1.388,-0.0517482,0.0898867,-0.0166507,0.00368328,-0.00280682,0.00802461
1.4,-0.0496692,0.0862643,-0.0160037,0.0035335,-0.00269759,0.00770681
1.414,-0.044372,0.0770372,-0.0143515,0.00315226,-0.00241862,0.00689628
1.424,-0.0430279,0.0746965,-0.0139314,0.00305563,-0.00234767,0.00669042
1.434,-0.0408775,0.0709523,-0.0132584,0.0029011,-0.00223401,0.00636088
1.448,-0.0388344,0.0673957,-0.0126181,0.00275439,-0.00212584,0.00604757
1.464,-0.0354104,0.0614368,-0.0115425,0.00250876,-0.00194416,0.00552199
1.486,-0.0319586,0.0554313,-0.0104549,0.00226144,-0.00176043,0.00499141
1.498,-0.0294408,0.0510522,-0.00965915,0.00208125,-0.00162601,0.00460389
1.508,-0.0285486,0.0495007,-0.00937664,0.00201745,-0.00157829,0.00446646
1.524,-0.0257651,0.0446615,-0.00849338,0.00181856,-0.00142911,0.0040373
1.534,-0.0257651,0.0446615,-0.00849338,0.00181856,-0.00142911,0.0040373
1.546,-0.0230154,0.0398828,-0.0076177,0.00162235,-0.00128123,0.00361269
1.558,-0.02209,0.0382748,-0.00732219,0.00155638,-0.00123133,0.00346962
1.57,-0.0207711,0.0359836,-0.00690029,0.00146241,-0.0011601,0.00326557
1.584,-0.0189388,0.0328012,-0.00631263,0.00133199,-0.0010609,0.00298177
1.598,-0.0185541,0.0321331,-0.00618899,0.00130463,-0.00104003,0.00292213
1.61,-0.0165737,0.0286946,-0.00555105,0.00116387,-0.000932386,0.00261481
1.622,-0.0157447,0.0272557,-0.00528325,0.001105,-0.000887208,0.00248601
1.632,-0.0151115,0.0261567,-0.00507834,0.00106007,-0.000852646,0.00238756
1.648,-0.0137783,0.0238432,-0.0046459,0.000965525,-0.000779721,0.00218006
1.658,-0.0130891,0.0226476,-0.00442178,0.000916694,-0.000741936,0.00207268
1.676,-0.0130891,0.0226476,-0.00442178,0.000916694,-0.000741936,0.00207268
1.686,-0.0114542,0.019812,-0.00388837,0.00080098,-0.000652038,0.0018176
