time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
0.86,-0.649853,-1.75921,2.35882,-1.55919,-3.85206,3.36831,nan,nan,nan,nan,nan,nan
0.87,-0.647667,-1.75926,2.35684,-1.55924,-3.8508,3.3656,nan,nan,nan,nan,nan,nan
0.88,-0.645586,-1.7593,2.35495,-1.55928,-3.8496,3.36302,nan,nan,nan,nan,nan,nan
0.89,-0.643605,-1.75934,2.35315,-1.55932,-3.84846,3.36056,nan,nan,nan,nan,nan,nan
0.9,-0.641721,-1.75938,2.35143,-1.55936,-3.84738,3.35823,nan,nan,nan,nan,nan,nan
0.91,-0.639927,-1.75942,2.3498,-1.5594,-3.84635,3.356,nan,nan,nan,nan,nan,nan
0.92,-0.638221,-1.75946,2.34825,-1.55943,-3.84536,3.35388,nan,nan,nan,nan,nan,nan
0.93,-0.636597,-1.75949,2.34678,-1.55947,-3.84443,3.35187,nan,nan,nan,nan,nan,nan
0.94,-0.635052,-1.75952,2.34538,-1.5595,-3.84354,3.34995,nan,nan,nan,nan,nan,nan
0.95,-0.633582,-1.75955,2.34404,-1.55953,-3.84269,3.34812,nan,nan,nan,nan,nan,nan
0.96,-0.632183,-1.75958,2.34277,-1.55955,-3.84188,3.34639,nan,nan,nan,nan,nan,nan
0.97,-0.630852,-1.7596,2.34156,-1.55958,-3.84111,3.34473,nan,nan,nan,nan,nan,nan
0.98,-0.629586,-1.75962,2.34041,-1.55961,-3.84038,3.34316,nan,nan,nan,nan,nan,nan
0.99,-0.628381,-1.75965,2.33932,-1.55963,-3.83969,3.34166,nan,nan,nan,nan,nan,nan
1,-0.627235,-1.75966,2.33828,-1.55965,-3.83903,3.34024,nan,nan,nan,nan,nan,nan
1.01,-0.626144,-1.75968,2.33729,-1.55967,-3.8384,3.33888,nan,nan,nan,nan,nan,nan
1.02,-0.625107,-1.7597,2.33635,-1.55969,-3.8378,3.33759,nan,nan,nan,nan,nan,nan
1.03,-0.624121,-1.75972,2.33546,-1.55971,-3.83723,3.33637,nan,nan,nan,nan,nan,nan
1.04,-0.623182,-1.75973,2.33461,-1.55973,-3.83668,3.3352,nan,nan,nan,nan,nan,nan
1.05,-0.62229,-1.75974,2.3338,-1.55974,-3.83617,3.33409,nan,nan,nan,nan,nan,nan
1.06,-0.621441,-1.75976,2.33303,-1.55976,-3.83568,3.33304,nan,nan,nan,nan,nan,nan
1.07,-0.620634,-1.75977,2.3323,-1.55977,-3.83521,3.33203,nan,nan,nan,nan,nan,nan
1.08,-0.619867,-1.75978,2.3316,-1.55979,-3.83476,3.33108,nan,nan,nan,nan,nan,nan
1.09,-0.619138,-1.75979,2.33094,-1.5598,-3.83434,3.33017,nan,nan,nan,nan,nan,nan
1.1,-0.618444,-1.7598,2.33032,-1.55981,-3.83394,3.32931,nan,nan,nan,nan,nan,nan
1.11,-0.617785,-1.75981,2.32972,-1.55982,-3.83356,3.32849,nan,nan,nan,nan,nan,nan
1.12,-0.617158,-1.75982,2.32915,-1.55983,-3.83319,3.32771,nan,nan,nan,nan,nan,nan
1.13,-0.616563,-1.75982,2.32861,-1.55984,-3.83285,3.32696,nan,nan,nan,nan,nan,nan
1.14,-0.615997,-1.75983,2.3281,-1.55985,-3.83252,3.32626,nan,nan,nan,nan,nan,nan
1.15,-0.615458,-1.75984,2.32761,-1.55986,-3.83221,3.32559,nan,nan,nan,nan,nan,nan
