time_sec,left_shoulder_pan_joint_desired_pos,left_shoulder_pan_joint_desired_vel,left_shoulder_pan_joint_actual_pos,left_shoulder_pan_joint_actual_vel,left_shoulder_pan_joint_error_pos,left_shoulder_pan_joint_error_vel,left_shoulder_lift_joint_desired_pos,left_shoulder_lift_joint_desired_vel,left_shoulder_lift_joint_actual_pos,left_shoulder_lift_joint_actual_vel,left_shoulder_lift_joint_error_pos,left_shoulder_lift_joint_error_vel,left_elbow_joint_desired_pos,left_elbow_joint_desired_vel,left_elbow_joint_actual_pos,left_elbow_joint_actual_vel,left_elbow_joint_error_pos,left_elbow_joint_error_vel,left_wrist_1_joint_desired_pos,left_wrist_1_joint_desired_vel,left_wrist_1_joint_actual_pos,left_wrist_1_joint_actual_vel,left_wrist_1_joint_error_pos,left_wrist_1_joint_error_vel,left_wrist_2_joint_desired_pos,left_wrist_2_joint_desired_vel,left_wrist_2_joint_actual_pos,left_wrist_2_joint_actual_vel,left_wrist_2_joint_error_pos,left_wrist_2_joint_error_vel,left_wrist_3_joint_desired_pos,left_wrist_3_joint_desired_vel,left_wrist_3_joint_actual_pos,left_wrist_3_joint_actual_vel,left_wrist_3_joint_error_pos,left_wrist_3_joint_error_vel
0.234,-0.730398,0.103843,-0.734027,0.0183155,0.00362818,0,-1.7549,-0.0138942,-1.75439,-0.00227154,-0.000505005,0,2.42919,-0.0842725,2.43214,-0.0147861,-0.00295245,0,-1.5614,0.012259,-1.56181,0.00223179,0.00041274,0,-3.90006,0.065019,-3.90232,0.011502,0.00225913,0,3.46572,-0.118272,3.46985,-0.0209177,-0.0041295,0
0.244,-0.729735,0.111469,-0.73382,0.0207043,0.0040851,0,-1.75499,-0.0149145,-1.75442,-0.00273091,-0.000569165,0,2.42865,-0.0904609,2.43197,-0.016789,-0.00332462,0,-1.56132,0.0131592,-1.56178,0.00242664,0.000465001,0,-3.89964,0.0697936,-3.90219,0.0129181,0.00254364,0,3.46497,-0.126957,3.46961,-0.0235822,-0.0046485,0
0.254,-0.729024,0.119094,-0.733589,0.0231427,0.00456435,0,-1.75508,-0.0159348,-1.75445,-0.00309198,-0.000635816,0,2.42807,-0.0966493,2.43179,-0.0187832,-0.0037147,0,-1.56124,0.0140595,-1.56176,0.00269479,0.000520159,0,-3.8992,0.0745682,-3.90204,0.0144276,0.00284231,0,3.46416,-0.135642,3.46935,-0.0263457,-0.00519307,0
0.264,-0.728267,0.12672,-0.733331,0.0256857,0.00506496,0,-1.75518,-0.0169551,-1.75448,-0.00344772,-0.000705277,0,2.42746,-0.102838,2.43158,-0.0208543,-0.00412209,0,-1.56115,0.0149597,-1.56172,0.00298488,0.00057785,0,-3.89872,0.0793427,-3.90188,0.0160082,0.00315435,0,3.46329,-0.144327,3.46906,-0.0292327,-0.00576199,0
0.274,-0.727462,0.134345,-0.733048,0.0283314,0.00558589,0,-1.75529,-0.0179754,-1.75451,-0.00381493,-0.000777475,0,2.4268,-0.109026,2.43135,-0.0230082,-0.00454598,0,-1.56105,0.0158599,-1.56169,0.00328799,0.00063792,0,-3.89822,0.0841173,-3.9017,0.0176535,0.00347909,0,3.46238,-0.153012,3.46873,-0.0322372,-0.00635405,0
0.284,-0.72661,0.141971,-0.732736,0.0310754,0.00612614,0,-1.7554,-0.0189957,-1.75455,-0.00419564,-0.000852281,0,2.42611,-0.115214,2.4311,-0.025242,-0.00498555,0,-1.56095,0.0167601,-1.56165,0.00360235,0.000700251,0,-3.89769,0.0888918,-3.9015,0.0193599,0.00381592,0,3.46141,-0.161698,3.46838,-0.0353535,-0.00696812,0
0.294,-0.725711,0.149596,-0.732396,0.0339128,0.00668475,0,-1.75552,-0.020016,-1.75459,-0.00458955,-0.00092956,0,2.42538,-0.121403,2.43082,-0.027552,-0.00544002,0,-1.56084,0.0176603,-1.56161,0.00392725,0.000764736,0,-3.89712,0.0936664,-3.90129,0.0211244,0.00416424,0,3.46038,-0.170383,3.46799,-0.0385759,-0.0076031,0
0.304,-0.724766,0.157222,-0.732027,0.0368391,0.00726083,0,-1.75565,-0.0210363,-1.75464,-0.00499604,-0.00100918,0,2.42462,-0.127591,2.43052,-0.0299344,-0.00590867,0,-1.56073,0.0185606,-1.56156,0.00426215,0.000831273,0,-3.89653,0.098441,-3.90106,0.0229441,0.00452348,0,3.45931,-0.179068,3.46756,-0.0418993,-0.00825798,0
0.314,-0.723773,0.164847,-0.731627,0.0398499,0.00785351,0,-1.75578,-0.0220566,-1.75469,-0.00541447,-0.00109103,0,2.42381,-0.13378,2.4302,-0.0323857,-0.00639077,0,-1.56062,0.0194608,-1.56151,0.0046066,0.000899763,0,-3.89591,0.103216,-3.9008,0.0248163,0.00489312,0,3.45818,-0.187753,3.46711,-0.0453188,-0.00893177,0
0.324,-0.722733,0.172473,-0.731195,0.042941,0.00846197,0,-1.75592,-0.0230768,-1.75475,-0.00584421,-0.00117499,0,2.42297,-0.139968,2.42985,-0.0349025,-0.00688568,0,-1.56049,0.020361,-1.56146,0.00496012,0.000970115,0,-3.89526,0.10799,-3.90053,0.0267385,0.00527263,0,3.45699,-0.196438,3.46662,-0.0488295,-0.00962354,0
