time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
1.166,-0.612076,-1.75987,2.32456,-1.55991,-3.83024,3.32137,nan,nan,nan,nan,nan,nan
1.176,-0.611731,-1.75987,2.32425,-1.55991,-3.83004,3.32094,nan,nan,nan,nan,nan,nan
1.186,-0.611404,-1.75988,2.32395,-1.55992,-3.82984,3.32053,nan,nan,nan,nan,nan,nan
1.196,-0.611092,-1.75988,2.32367,-1.55992,-3.82966,3.32015,nan,nan,nan,nan,nan,nan
1.206,-0.610796,-1.75988,2.3234,-1.55993,-3.82949,3.31978,nan,nan,nan,nan,nan,nan
1.216,-0.610515,-1.75988,2.32315,-1.55993,-3.82933,3.31943,nan,nan,nan,nan,nan,nan
1.226,-0.610247,-1.75988,2.32291,-1.55993,-3.82917,3.31909,nan,nan,nan,nan,nan,nan
1.236,-0.609993,-1.75988,2.32268,-1.55994,-3.82902,3.31877,nan,nan,nan,nan,nan,nan
1.246,-0.609752,-1.75989,2.32246,-1.55994,-3.82888,3.31847,nan,nan,nan,nan,nan,nan
1.256,-0.609522,-1.75989,2.32226,-1.55994,-3.82875,3.31819,nan,nan,nan,nan,nan,nan
1.266,-0.609304,-1.75989,2.32206,-1.55994,-3.82862,3.31791,nan,nan,nan,nan,nan,nan
1.276,-0.609096,-1.75989,2.32187,-1.55995,-3.8285,3.31765,nan,nan,nan,nan,nan,nan
1.286,-0.608899,-1.75989,2.32169,-1.55995,-3.82838,3.31741,nan,nan,nan,nan,nan,nan
1.296,-0.608711,-1.75989,2.32153,-1.55995,-3.82827,3.31717,nan,nan,nan,nan,nan,nan
1.306,-0.608533,-1.75989,2.32136,-1.55995,-3.82817,3.31695,nan,nan,nan,nan,nan,nan
1.316,-0.608363,-1.75989,2.32121,-1.55995,-3.82807,3.31674,nan,nan,nan,nan,nan,nan
1.326,-0.608202,-1.75989,2.32107,-1.55996,-3.82797,3.31654,nan,nan,nan,nan,nan,nan
1.336,-0.608049,-1.75989,2.32093,-1.55996,-3.82788,3.31635,nan,nan,nan,nan,nan,nan
1.346,-0.607903,-1.75989,2.3208,-1.55996,-3.8278,3.31616,nan,nan,nan,nan,nan,nan
1.356,-0.607765,-1.75989,2.32067,-1.55996,-3.82771,3.31599,nan,nan,nan,nan,nan,nan
1.366,-0.607633,-1.75989,2.32056,-1.55996,-3.82764,3.31583,nan,nan,nan,nan,nan,nan
1.376,-0.607508,-1.75989,2.32044,-1.55996,-3.82756,3.31567,nan,nan,nan,nan,nan,nan
1.386,-0.60739,-1.75989,2.32034,-1.55996,-3.82749,3.31552,nan,nan,nan,nan,nan,nan
1.396,-0.607277,-1.75989,2.32023,-1.55996,-3.82743,3.31538,nan,nan,nan,nan,nan,nan
1.406,-0.607169,-1.75989,2.32014,-1.55997,-3.82736,3.31524,nan,nan,nan,nan,nan,nan
1.416,-0.607067,-1.75989,2.32005,-1.55997,-3.8273,3.31512,nan,nan,nan,nan,nan,nan
1.426,-0.60697,-1.75989,2.31996,-1.55997,-3.82725,3.31499,nan,nan,nan,nan,nan,nan
1.436,-0.606878,-1.75989,2.31988,-1.55997,-3.82719,3.31488,nan,nan,nan,nan,nan,nan
1.446,-0.60679,-1.75989,2.3198,-1.55997,-3.82714,3.31477,nan,nan,nan,nan,nan,nan
1.456,-0.606707,-1.75989,2.31972,-1.55997,-3.82709,3.31466,nan,nan,nan,nan,nan,nan
1.466,-0.606627,-1.75989,2.31965,-1.55997,-3.82704,3.31457,nan,nan,nan,nan,nan,nan
1.476,-0.606552,-1.75989,2.31958,-1.55997,-3.827,3.31447,nan,nan,nan,nan,nan,nan
1.486,-0.60648,-1.75989,2.31952,-1.55997,-3.82696,3.31438,nan,nan,nan,nan,nan,nan
1.496,-0.606412,-1.75989,2.31946,-1.55997,-3.82692,3.3143,nan,nan,nan,nan,nan,nan
1.506,-0.606348,-1.75989,2.3194,-1.55997,-3.82688,3.31421,nan,nan,nan,nan,nan,nan
1.516,-0.606286,-1.75989,2.31935,-1.55997,-3.82684,3.31414,nan,nan,nan,nan,nan,nan
1.526,-0.606228,-1.75989,2.31929,-1.55997,-3.82681,3.31406,nan,nan,nan,nan,nan,nan
1.536,-0.606172,-1.75989,2.31924,-1.55997,-3.82678,3.31399,nan,nan,nan,nan,nan,nan
1.546,-0.606119,-1.75989,2.3192,-1.55997,-3.82674,3.31393,nan,nan,nan,nan,nan,nan
1.556,-0.606069,-1.75989,2.31915,-1.55997,-3.82671,3.31387,nan,nan,nan,nan,nan,nan
1.566,-0.606021,-1.75989,2.31911,-1.55997,-3.82669,3.31381,nan,nan,nan,nan,nan,nan
1.576,-0.605976,-1.75989,2.31907,-1.55997,-3.82666,3.31375,nan,nan,nan,nan,nan,nan
1.586,-0.605933,-1.75989,2.31903,-1.55997,-3.82663,3.31369,nan,nan,nan,nan,nan,nan
1.596,-0.605892,-1.75989,2.31899,-1.55997,-3.82661,3.31364,nan,nan,nan,nan,nan,nan
1.606,-0.605853,-1.75989,2.31896,-1.55997,-3.82659,3.31359,nan,nan,nan,nan,nan,nan
1.616,-0.605816,-1.75989,2.31892,-1.55997,-3.82656,3.31355,nan,nan,nan,nan,nan,nan
1.626,-0.60578,-1.75988,2.31889,-1.55997,-3.82654,3.3135,nan,nan,nan,nan,nan,nan
1.636,-0.605747,-1.75988,2.31886,-1.55997,-3.82652,3.31346,nan,nan,nan,nan,nan,nan
1.646,-0.605715,-1.75988,2.31883,-1.55997,-3.8265,3.31342,nan,nan,nan,nan,nan,nan
1.656,-0.605685,-1.75988,2.31881,-1.55997,-3.82649,3.31338,nan,nan,nan,nan,nan,nan
1.666,-0.605656,-1.75988,2.31878,-1.55997,-3.82647,3.31335,nan,nan,nan,nan,nan,nan
1.676,-0.605629,-1.75988,2.31876,-1.55997,-3.82645,3.31331,nan,nan,nan,nan,nan,nan
1.686,-0.605603,-1.75988,2.31873,-1.55997,-3.82644,3.31328,nan,nan,nan,nan,nan,nan
1.696,-0.605578,-1.75988,2.31871,-1.55997,-3.82642,3.31325,nan,nan,nan,nan,nan,nan
1.706,-0.605555,-1.75988,2.31869,-1.55997,-3.82641,3.31322,nan,nan,nan,nan,nan,nan
1.716,-0.605532,-1.75988,2.31867,-1.55997,-3.8264,3.31319,nan,nan,nan,nan,nan,nan
1.726,-0.605511,-1.75988,2.31865,-1.55997,-3.82638,3.31316,nan,nan,nan,nan,nan,nan
1.736,-0.605491,-1.75988,2.31863,-1.55997,-3.82637,3.31314,nan,nan,nan,nan,nan,nan
1.746,-0.605472,-1.75988,2.31862,-1.55997,-3.82636,3.31311,nan,nan,nan,nan,nan,nan
1.756,-0.605453,-1.75988,2.3186,-1.55997,-3.82635,3.31309,nan,nan,nan,nan,nan,nan
1.766,-0.605436,-1.75988,2.31859,-1.55997,-3.82634,3.31307,nan,nan,nan,nan,nan,nan
1.776,-0.60542,-1.75988,2.31857,-1.55997,-3.82633,3.31305,nan,nan,nan,nan,nan,nan
1.786,-0.605404,-1.75988,2.31856,-1.55997,-3.82632,3.31303,nan,nan,nan,nan,nan,nan
1.796,-0.605389,-1.75988,2.31854,-1.55997,-3.82631,3.31301,nan,nan,nan,nan,nan,nan
1.806,-0.605375,-1.75988,2.31853,-1.55997,-3.8263,3.31299,nan,nan,nan,nan,nan,nan
1.816,-0.605362,-1.75988,2.31852,-1.55997,-3.82629,3.31298,nan,nan,nan,nan,nan,nan
1.826,-0.605349,-1.75988,2.31851,-1.55997,-3.82629,3.31296,nan,nan,nan,nan,nan,nan
1.836,-0.605337,-1.75988,2.3185,-1.55997,-3.82628,3.31294,nan,nan,nan,nan,nan,nan
1.846,-0.605325,-1.75988,2.31849,-1.55997,-3.82627,3.31293,nan,nan,nan,nan,nan,nan
1.856,-0.605314,-1.75988,2.31848,-1.55997,-3.82626,3.31292,nan,nan,nan,nan,nan,nan
